Feature,Importance
MAR03033F,0.00108250276854928
MAR04481,0.0010794666666666664
MAR08759,0.0010764829870520928
MAR05705,0.0010725472537710748
MAR05392,0.0010680763836444056
MAR05618,0.001064701064701064
MAR05673,0.0010520487264673308
MAR08867B,0.00105
MAR04969B,0.0010413707386363632
MAR07665F,0.001039304610733182
MAR09737,0.001032330268670026
MAR06388B,0.0010286888123714356
MAR06050B,0.0010277044197518556
MAR05992,0.001023614977103349
MAR05937,0.0010057142857142853
MAR09940B,0.0010050228194119794
MAR11009B,0.0010041049459444706
MAR11176F,0.0009997691730624962
MAR05639,0.0009982409231635236
MAR05278,0.0009972899728997288
MAR05665,0.0009864743407063154
MAR05700,0.0009807692307692304
MAR11064F,0.0009790700183407051
MAR07595,0.0009761193949538796
MAR05723,0.0009717648357364243
MAR05971,0.0009442210176604297
MAR11015F,0.0009398054968287522
MAR05035F,0.0009346114344402599
MAR10033B,0.0009338241896381427
MAR09002B,0.0009313218234300961
MAR09592,0.000930484408842438
MAR05946,0.0009291521486643434
MAR06072F,0.0009243409791167405
MAR04844F,0.0009209286210327898
MAR03744,0.0009185682000437409
MAR05615,0.0009107924377383238
MAR11100F,0.0009100685800115745
MAR08741F,0.0009064144026999943
MAR03724,0.0009045240002484183
MAR02473,0.0009019667188909459
MAR08994F,0.0009016056359212092
MAR05791,0.0008944300905701057
MAR05113,0.0008913147934722478
MAR08917,0.0008839950372208434
MAR01883F,0.0008803247420159434
MAR11082B,0.0008773395721925129
MAR08491F,0.0008766309155241042
MAR04468B,0.0008766233766233762
MAR05775,0.0008680555555555553
MAR11163B,0.0008651183431952659
MAR02272,0.000862122130171341
MAR04992B,0.0008587293388429749
MAR06293,0.0008575889503915837
MAR06863,0.0008562162162162158
MAR04863F,0.0008525642022136548
MAR11518F,0.0008509400604619643
MAR12079,0.0008503903941269789
MAR01888F,0.0008496350268499271
MAR11146B,0.0008459282652831038
MAR11032B,0.00084536738672077
MAR12040B,0.0008426318545356315
MAR09588,0.0008422218336539022
MAR09598,0.0008302193109366109
MAR09886F,0.0008267041954276472
MAR05811,0.0008238006440042389
MAR03850B,0.0008215188676958692
MAR09980B,0.0008212136131181276
MAR05645,0.0008193693099353473
MAR08592,0.0008167464096687134
MAR05578B,0.0008150543201650562
MAR09783,0.0008113964292014764
MAR05118,0.0008076437098971467
MAR02801F,0.0008067269918720174
MAR06039F,0.0008062225508339294
MAR09826F,0.0008039527430716998
MAR06091B,0.0008018505708465279
MAR00162B,0.0007954545454545452
MAR01378F,0.000794047619047619
MAR00623,0.0007895025659445098
MAR03889,0.0007876671087790306
MAR05511F,0.0007641065830721
MAR08847,0.000763841778179797
MAR11037F,0.0007558994108045204
MAR08477B,0.0007555073864619998
MAR07736,0.0007540241852631432
MAR09829F,0.0007519901454327683
MAR04410F,0.0007475157530811705
MAR08993B,0.000735826196731776
MAR01352B,0.0007321649201482636
MAR05554F,0.0007307420699736168
MAR09621,0.0007259654427257458
MAR20142B,0.0007253308452521046
MAR12086,0.0007237865795418695
MAR06301,0.0007115489874110562
MAR11048F,0.0007105058156286647
MAR09590,0.0007087486157253595
MAR11139F,0.0007020260678797262
MAR04993B,0.0006952075227471167
MAR00400,0.0006941426938357034
MAR05804,0.0006932147835587536
MAR05893,0.0006891614406108234
MAR00097B,0.0006890033839871896
MAR04516,0.0006871499382638727
MAR03684,0.0006840617813794304
MAR11070F,0.0006807157769728702
MAR06629B,0.0006790055947950684
MAR12084,0.0006756141479477483
MAR00771F,0.0006739409499358151
MAR09967F,0.0006732384363147316
MAR07752,0.000664434583366685
MAR04606,0.0006620209059233447
MAR02414B,0.0006580765709264576
MAR10355B,0.0006539220756517365
MAR08526F,0.0006527867416559092
MAR07726B,0.0006502274141759822
MAR06248,0.0006484877846790891
MAR04646,0.0006435381043889411
MAR10995F,0.0006333289352157274
MAR06042F,0.000632972627003855
MAR06629F,0.0006328112640404998
MAR00093B,0.0006323717266340216
MAR04034,0.0006316215902646083
MAR00717B,0.0006237627850518722
MAR04651F,0.0006221190208901986
MAR06019F,0.0006178015092008295
MAR05550,0.0005917487764012115
MAR02420B,0.0005915883291914351
MAR11024B,0.0005871528939444629
MAR11065B,0.0005868329359985326
MAR03841B,0.0005845491956603064
MAR01842,0.0005839705386402282
MAR01850F,0.0005786976181713023
MAR07951B,0.0005748003444889928
MAR04882B,0.0005703016042780747
MAR01821F,0.0005696122059758421
MAR11122F,0.0005656556275830939
MAR06067F,0.0005651289028182083
MAR06821F,0.0005638918073944062
MAR09779,0.0005532340218401457
MAR11053F,0.0005416666666666665
MAR05634,0.0005414060042637958
MAR06303,0.0005380807931753347
MAR05903,0.0005214502383359814
MAR01908B,0.0005182925054571912
MAR06110F,0.0005165005673453053
MAR11131B,0.0005154892254178631
MAR06957F,0.0005140642356906994
MAR05647,0.0005136465097402595
MAR05581B,0.0005086762899262899
MAR01864,0.0005060871424123333
MAR10985F,0.0005057471264367816
MAR10152F,0.0005021744152178933
MAR04388B,0.0004970669107291495
MAR11021F,0.0004913280064963852
MAR05797,0.0004850740657192268
MAR04147B,0.0004848484848484851
MAR00212,0.00048371484630477436
MAR08977,0.000477621775781355
MAR02290,0.00047762077138151557
MAR05604,0.00047518249552067857
MAR00040,0.00047352638996091425
MAR01867,0.00047027322000854323
MAR05996,0.000469795107539119
MAR03691,0.00046791917759659673
MAR04288,0.00046691769768692875
MAR09576B,0.00046409282896981666
MAR11022F,0.0004617854908085667
MAR06049F,0.00045905238424658783
