Hparam	Feature	Model	Reaction-Set	Silhouette	Calinski	Dunn
common_best_hparam	input-subsystem	rnn_delta	Reaction-Set-5	-0.004946988358154901	-3.4632550373916753	0.03470077257234325
common_best_hparam	input-subsystem	rnn_delta	Reaction-Set-6	-0.010607096673448155	-3.527592064646009	0.03404691430377779
common_best_hparam	input-subsystem	rnn_delta	Reaction-Set-7	-0.09117305071404494	-4.792454383557816	-0.06481914592765081
common_best_hparam	input-subsystem	rnn_delta	Reaction-Set-8	-0.09232485536833844	-4.296945680518795	-0.0025338361801919007
common_best_hparam	input-subsystem	rnn_delta	Reaction-Set-9	0.045050830673460496	-2.6082047740147494	0.006689349525928756
different_best_hparam	input-reaction	rnn	Reaction-Set-1	0.013829663802784928	-2.0901078490605567	-0.10324242583050251
different_best_hparam	input-reaction	rnn	Reaction-Set-2	-0.08810187070581127	-4.236045593267818	-0.004121802257913781
different_best_hparam	input-reaction	rnn	Reaction-Set-3	-0.007456494181621004	-4.069749553588382	-0.054734642666592254
different_best_hparam	input-reaction	rnn	Reaction-Set-4	-0.10101592018273915	-0.5199254947810434	-0.14294742020650147
different_best_hparam	input-reaction	rnn	Reaction-Set-5	-0.06340256148392429	-5.184361567918541	-0.09848639372821305
different_best_hparam	input-reaction	rnn	Reaction-Set-6	-0.05837440732803981	-0.7563644345195266	-0.06917711462112214
different_best_hparam	input-reaction	rnn	Reaction-Set-7	0.013411827245994448	6.621399905279312	-0.13421014211853832
different_best_hparam	input-reaction	rnn	Reaction-Set-8	0.015403205282642787	-0.9303846734899581	-0.12371450960291476
different_best_hparam	input-reaction	rnn	Reaction-Set-9	0.12261087483923859	-4.02831915227035	-0.1403290653630965
different_best_hparam	input-reaction	rnn_delta	Reaction-Set-1	-0.08141704041617623	-0.444086577750304	-0.11017499308655528
different_best_hparam	input-reaction	rnn_delta	Reaction-Set-2	0.011923339059628571	-3.8852766232615967	-0.06489274772878914
different_best_hparam	input-reaction	rnn_delta	Reaction-Set-3	-0.03903260435232616	0.8098752233554949	-0.021813554129906265
different_best_hparam	input-reaction	rnn_delta	Reaction-Set-4	-0.07956851445258803	-0.8354165027283091	-0.07915170127388449
